address,location/lat,location/lng,name,numberOfGuests,pricing/nights,pricing/rate/amount,pricing/rate/amountFormatted,pricing/rateType,pricing/totalPrice/accommodation,pricing/totalPrice/amount,pricing/totalPrice/amountFormatted,pricing/totalPrice/cleaningFee,pricing/totalPrice/currency,pricing/totalPrice/guestFee,primaryHost/badges/0,primaryHost/badges/1,roomType,stars,stand address,praia,price per guest,price per night,norm price per guest,reviews numerical,score
"Boa Viagem, Pernambuco, Brazil",-8.11234,-34.89979,Flat em Boa Viagem! Dois quartos.,4,3,342.33,R$342.33,nightly,790,1027,"R$1,027",110.0,BRL,127.0,27 Reviews,Identity verified,Entire serviced apartment,4.67,Boa Viagem,1,85.583,342.333,0.993,27.0,4.697
"Pina, Pernambuco, Brazil",-8.08609,-34.88819,Studio 29 beach Recife Deslumbrante,2,3,289.0,R$867,nightly,660,867,R$867,100.0,BRL,107.0,26 Reviews,Identity verified,Entire rental unit,5.0,Pina,1,144.5,289.0,0.988,26.0,4.693
"Boa Viagem, Pernambuco, Brazil",-8.10814,-34.88707,Av Boa Viagem. Flat com vista perfeita para o Mar.,4,3,513.67,R$513.67,nightly,1200,1541,"R$1,541",150.0,BRL,191.0,25 Reviews,Identity verified,Entire rental unit,4.94,Boa Viagem,1,128.417,513.667,0.99,25.0,4.576
"Pina, Pernambuco, Brazil",-8.09732,-34.88426,Excelente Flat super equipado e com vista pro Mar!,2,3,601.0,R$601,nightly,1430,1803,"R$1,803",150.0,BRL,223.0,27 Reviews,Identity verified,Entire serviced apartment,4.2,Pina,1,300.5,601.0,0.976,27.0,4.546
"Espinheiro, Pernambuco, Brazil",-8.04203,-34.89084,QUARTO SOLTEIRO NO ESPINHEIRO,2,3,97.0,R$291,nightly,210,291,R$291,45.0,BRL,36.0,24 Reviews,Identity verified,Private room in condo,5.0,Espinheiro,0,48.5,97.0,0.996,24.0,4.498
"Boa Viagem, Pernambuco, Brazil",-8.115,-34.896,QUARTO AMPLO E CLIMATIZADO,3,3,93.33,R$280,nightly,210,280,R$280,35.0,BRL,35.0,24 Reviews,Identity verified,Private room in rental unit,4.71,Boa Viagem,1,31.111,93.333,0.998,24.0,4.412
"Boa Viagem, Pernambuco, Brazil",-8.11959,-34.89886,"Lovely Apt in Boa Viagem
Beach & Pool",5,3,380.33,R$380.33,nightly,900,1141,"R$1,141",100.0,BRL,141.0,23 Reviews,Identity verified,Entire condo,5.0,Boa Viagem,1,76.067,380.333,0.994,23.0,4.396
"Centro, Pernambuco, Brazil",-8.44146,-34.98522,Casa Fantástica - Porto de Galinhas/ Muro Alto,16,3,2092.0,R$2092,nightly,5500,6276,"R$6,276",,BRL,776.0,23 Reviews,Identity verified,Entire home,4.92,Centro,0,130.75,2092.0,0.99,23.0,4.37
"Boa Viagem, Pernambuco, Brazil",-8.1185,-34.89352,Flat Mércure Navegantes Recife - Maravilhoso!,2,3,256.67,R$770,nightly,675,770,R$770,,BRL,95.0,23 Reviews,Identity verified,Private room in serviced apartment,4.69,Boa Viagem,1,128.333,256.667,0.99,23.0,4.301
"Recife, Pernambuco, Brazil",-8.12496,-34.90068,Amplo apto. em excelente localização de Boa Viagem,4,3,581.0,R$581,nightly,1527,1743,"R$1,743",,BRL,216.0,23 Reviews,,Entire rental unit,4.61,Recife,0,145.25,581.0,0.988,23.0,4.276
"Boa Viagem, Pernambuco, Brazil",-8.117,-34.894,Excelente Flat em frente a praia de Boa Viagem,2,3,376.67,R$376.67,nightly,840,1130,"R$1,130",150.0,BRL,140.0,22 Reviews,Identity verified,Entire serviced apartment,4.95,Boa Viagem,1,188.333,376.667,0.985,22.0,4.276
"Recife, Pernambuco, Brazil",-8.13954,-34.90359,Recife's best/ melhor de Recife,8,3,1179.33,R$1179.33,nightly,3000,3538,"R$3,538",100.0,BRL,438.0,22 Reviews,Identity verified,Entire rental unit,4.92,Recife,0,147.417,1179.333,0.988,22.0,4.269
"Recife, Pernambuco, Brazil",-8.038,-34.945,Apto completo perto da Cidade Universitária,5,3,251.0,R$753,nightly,660,753,R$753,,BRL,93.0,19 Reviews,Identity verified,Entire condo,4.83,Recife,0,50.2,251.0,0.996,19.0,3.947
"Boa Viagem, Pernambuco, Brazil",-8.1178,-34.89939,"Beach Class Hotels17°andar, conforto e luxo.",4,3,285.33,R$856,nightly,750,856,R$856,,BRL,106.0,18 Reviews,Identity verified,Entire serviced apartment,5.0,Boa Viagem,1,71.333,285.333,0.994,18.0,3.896
"Derby, Pernambuco, Brazil",-8.05424,-34.90311,Excelente Apto Área Hospitalar (S.Joana/Português),5,3,352.67,R$352.67,nightly,927,1058,"R$1,058",,BRL,131.0,18 Reviews,Identity verified,Entire rental unit,4.94,Derby,0,70.533,352.667,0.994,18.0,3.878
"Boa Viagem, Pernambuco, Brazil",-8.13268,-34.9018,Apartamento acolhedor com excelente localização,5,3,296.67,R$890,nightly,630,890,R$890,150.0,BRL,110.0,19 Reviews,Identity verified,Entire rental unit,4.58,Boa Viagem,1,59.333,296.667,0.995,19.0,3.871
"Várzea, Pernambuco, Brazil",-8.04531,-34.94953,Quarto  individual com banheiro privativo,2,3,74.33,R$223,nightly,195,223,R$223,,BRL,28.0,17 Reviews,Identity verified,Private room in guest suite,5.0,Várzea,0,37.167,74.333,0.997,17.0,3.798
"Madalena, Pernambuco, Brazil",-8.05265,-34.91127,"Ed. Jardins da Holanda,",4,3,483.0,R$483,nightly,1200,1449,"R$1,449",70.0,BRL,179.0,17 Reviews,Identity verified,Entire rental unit,4.88,Madalena,0,120.75,483.0,0.99,17.0,3.758
"Boa Viagem, Pernambuco, Brazil",-8.1208,-34.89686,Apartamento Boa Viagem perto de tudo,5,3,513.67,R$513.67,nightly,1200,1541,"R$1,541",150.0,BRL,191.0,16 Reviews,Identity verified,Entire condo,5.0,Boa Viagem,1,102.733,513.667,0.992,16.0,3.695
"Pina, Pernambuco, Brazil",-8.086,-34.89,"Apartamento completão, ao lado do Shop Rio Mar",4,3,494.67,R$494.67,nightly,1200,1484,"R$1,484",100.0,BRL,184.0,16 Reviews,Identity verified,Entire rental unit,4.82,Pina,1,123.667,494.667,0.99,16.0,3.64
"Recife, Pernambuco, Brazil",-8.13625,-34.90135,Double room w/ exclusive bathroom,2,3,464.0,R$464,nightly,1200,1392,"R$1,392",20.0,BRL,172.0,16 Reviews,Identity verified,Private room in rental unit,4.81,Recife,0,232.0,464.0,0.981,16.0,3.632
"Boa Viagem, Pernambuco, Brazil",-8.11701,-34.89351,"Flat Mercure Navegantes, 50m praia de Boa Viagem.",3,3,260.67,R$782,nightly,615,782,R$782,70.0,BRL,97.0,16 Reviews,Identity verified,Private room in serviced apartment,4.69,Boa Viagem,1,86.889,260.667,0.993,16.0,3.603
"Encruzilhada, Pernambuco, Brazil",-8.038,-34.888,A casa é sua!,2,3,64.0,R$192,nightly,168,192,R$192,,BRL,24.0,30 Reviews,Identity verified,Private room in rental unit,0.0,Encruzilhada,0,32.0,64.0,0.997,30.0,3.598
"Recife, Pernambuco, Brazil",-8.049,-34.895,Apartamento urbano industrial | Wi-Fi fibra ótica,3,3,324.0,R$972,nightly,732,972,R$972,120.0,BRL,120.0,15 Reviews,Identity verified,Entire condo,5.0,Recife,0,108.0,324.0,0.991,15.0,3.595
"Dois Irmãos, Pernambuco, Brazil",-8.00817,-34.95438,Maison JanArtem,3,3,95.0,R$285,nightly,195,285,R$285,55.0,BRL,35.0,15 Reviews,Identity verified,Entire home,4.47,Dois Irmãos,0,31.667,95.0,0.997,15.0,3.439
"Boa Viagem, Pernambuco, Brazil",-8.11225,-34.89346,Apartamento alto padrão em Boa Viagem,4,3,399.33,R$399.33,nightly,900,1198,"R$1,198",150.0,BRL,148.0,13 Reviews,Identity verified,Entire rental unit,5.0,Boa Viagem,1,99.833,399.333,0.992,13.0,3.395
"Boa Viagem, Pernambuco, Brazil",-8.11287,-34.90092,Apartamento completo para você. É só chegar!,4,3,430.0,R$430,nightly,1020,1290,"R$1,290",110.0,BRL,160.0,12 Reviews,Identity verified,Entire rental unit,5.0,Boa Viagem,1,107.5,430.0,0.991,12.0,3.295
"Boa Viagem, Pernambuco, Brazil",-8.14215,-34.90555,"Apartamento Jussara Freitas, 2 quartos Beira Mar",5,3,371.0,R$371,nightly,675,1113,"R$1,113",300.0,BRL,138.0,13 Reviews,Identity verified,Entire condo,4.63,Boa Viagem,1,74.2,371.0,0.994,13.0,3.285
"Boa Viagem, Pernambuco, Brazil",-8.13534,-34.90613,Setubal 2 quartos 400 metros do mar,4,3,502.0,R$502,nightly,1200,1506,"R$1,506",120.0,BRL,186.0,13 Reviews,Identity verified,Entire rental unit,4.62,Boa Viagem,1,125.5,502.0,0.99,13.0,3.28
